Food_ID,Name,C_Type,Veg_Non,Describe,Image_URL
95,steamed chicken roulade,French,non-veg,"lamb mince, garlic , salt, paprika powder, pomodaro tomatoes, olive oil, celery, shallots, carrot, black pepper, bay leaf, yellow chilli powder, cilantro, chicken thigh, salt, white pepper powder, garlic paste, white wine vinegar, olive oil, yellow chilli powder, refined oil, fenugreek seeds, white pepper powder, garlic, fenugreek leaves, onion, broken cashew, salt, fresh cream, kasoori methi",https://images.getrecipekit.com/20210830062215-steamed-chicken-rouladeswith-wauteed-spinach-and-mushrooms-hero.jpg?aspect_ratio=1:1&quality=90&
96,methi chicken masala,Indian,non-veg,"boneless chicken, lemon juice, red chilli powder, salt, ginger garlic paste, curd, red chilli powder, salt, coriander powder, oil, onion, oil, bay leaf, green cardamom, black cardamom, cinnamon, ginger garlic paste, tomato, kasoori methi, green chilli, water",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/08/methi-chicken-recipe.jpg
97,restaurant style fried chicken,Chinese,non-veg,"egg, salt, white pepper, maida, salt, red chilli powder, garlic powder, ginger powder, onion powder, oregano, chillil flakes, white pepper, basil, chicken drumsticks, salt, white pepper, bread crumbs (as required)",https://www.allrecipes.com/thmb/t0WhC8wxd1OwM-XblubK7jTHO2c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4468954-78d3fe39916d4c76aaeb1feab517268f.jpg
98,chicken potli,Chinese,non-veg,"chicken, onion, green chilli, garlic, ginger, salt, aromatic powder, soya sauce, oyster sauce, spring onion, filo sheets",https://farm2cook.com/files/Chicken-Potli.jpg
99,spicy chicken masala,Indian,non-veg,"mustard oil, curry leaves, kalonjee, saunf, garlic, onion, tomatoes, ginger, green chillies, boneless chicken, salt, tomato puree, red chilli powder, cumin powder, black salt, peppercorn (crushed), water, mint, coriander",https://bellyfull.net/wp-content/uploads/2021/05/Chicken-Tikka-Masala-blog.jpg
100,spicy chicken curry,Indian,non-veg,"oil, ghee, onion paste, garlic paste, ginger paste, turmeric powder, salt, tomato puree, coriander powder, red chilli powder, cumin powder, garam masala, chicken leg pieces, coriander leaves, water",https://www.foodandwine.com/thmb/8YAIANQTZnGpVWj2XgY0dYH1V4I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/spicy-chicken-curry-FT-RECIPE0321-58f84fdf7b484e7f86894203eb7834e7.jpg
101,crispy herb chicken,Italian,non-veg,"fresh breadcrumbs, parmesan cheese, lemon rind, fresh parsley leaves, garlic powder, plain flour, egg, milk, chicken breast supremes, vegetable oil, mayonnaise, sour cream, fresh chives (dried if fresh not available), fresh parsley (dried if fresh not available), garlic, red onion (optional), ground black pepper, salt",https://diningbykelly.com/wp-content/uploads/2021/12/Crispy-Herb-Braised-Chicken-Thighs.jpeg
102,dahi chicken,Indian,non-veg,"dahi, cumin powder, garlic paste, garam masala, turmeric powder, red chilli powder, salt, boneless chicken, oil, green chilli, onion, tomato",https://www.whiskaffair.com/wp-content/uploads/2014/07/Dahi-Chicken-2-3.jpg
103,amritsari chicken masala,Indian,non-veg,"chicken, ginger garlic paste, curd, lemon juice, vinegar, coriander powder, cumin powder, red chilli powder, salt, onion, butter, red chilli powder, coriander powder, cumin powder, ginger, water, salt, green chilli, tomatoes, sugar, butter , cream",https://img-global.cpcdn.com/recipes/4ccf51af63650535/400x400cq70/photo.jpg
104,chilli chicken,Chinese,non-veg,"boneless chicken, salt, cornflour, black pepper, egg, soy sauce, red chilli sauce, garlic, green chillies, green chilli sauce, vinegar, onion, capsicum, black pepper, salt",https://www.teaforturmeric.com/wp-content/uploads/2024/06/Chilli-Chicken-Recipe.jpg
105,chicken tenders,Snack,non-veg,"chicken breast (cut into strips), salt, garlic paste, ginger paste, green chilli paste, oats, refined flour, salt, freshly ground black pepper, fried mixed herbs (italian herb), garlic powder",https://www.simplysissom.com/wp-content/uploads/2018/04/Frozen-Chicken-Tenders-in-Air-Fryer-FI.jpg
106,chicken nimbu dhaniya shorba,Beverage,non-veg,"water, chicken (diced)), ginger garlic paste, coriander, lemon, cream, butter, turmeric powder, green chilli paste, cornflour, salt",https://static.toiimg.com/photo/59179100.cms
107,garlic soya chicken,Healthy Food,non-veg,"chicken thigh/breast (cut crosswise into 1/2-inch-thin strips), sesame oil (toasted), white pepper (finely ground), ginger juice, peanut oil or vegetable oil (divided), garlic cloves (minced), ginger, red chilli flakes, red onion , snow peas (trimmed), red bell pepper (cut into thin strips), rice vinegar, soy sauce, dark soy sauce, chinese rice wine, brown sugar, cornflour",https://tiffycooks.com/wp-content/uploads/2021/12/Screen-Shot-2021-12-15-at-12.37.33-AM.png
108,cauliflower and chicken biryani,Indian,non-veg,"boneless chicken, biryani masala, yogurt, onions, coconut oil, cauliflower, coconut (diced), onion (diced), peppercorns, cardamoms, cumin seeds, bay leaves, cinnamon, cloves, coconut oil, garam masala, dry chilli flakes, turmeric powder, black peppercorns, cardamom, cinnamon, garlic (crushed), tomato puree, green chillies, fresh ginger (peeled), dry red chilli, salt",https://www.skinnytaste.com/wp-content/uploads/2018/12/Cauliflower-Rice-Chicken-Biryani-1-1.jpg
109,chicken quinoa biryani,Healthy Food,non-veg,"onions, tomato, green chillies(slit open), ginger garlic paste, mint leaves, coriander leaves/cilantro, fresh yogurt/curd(beaten), turmeric powder, chilli powder, salt, chicken (cut into pieces), garam masala powder, ginger garlic paste, yogurt/curd, chilli powder, coriander powder, salt, oil, cloves, bay leaf , cardamom",https://indfused.com/wp-content/uploads/2017/08/0-cover.jpg?w=1400
110,chicken and mushroom lasagna,Italian,non-veg,"chicken, salt, crush black pepper, garlic cloves (minced), olive oil, fresh thyme, button mushroom, onion, low fat milk, basil, basil-tomato sauce",https://vjcooks.com/wp-content/uploads/2024/10/VJ_Cooks_Chicken_Mushroom_Lasagne-1-720x720.jpg
111,plum and cherry roasted chicken,Healthy Food,non-veg,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries",https://c.ndtvimg.com/u85of26o_roast-chicken_625x300_07_August_18.jpg
112,chicken roulade,French,non-veg,"chicken breasts, olives, jalapenos, bell peppers(all 3), thyme dried, white wine, salt, black pepper (crushed to taste), egg, olive oil, mozerella cheese, processed cheese",https://thecozycook.com/wp-content/uploads/2024/01/Chicken-Roulade-1-1.jpg
113,sticky rum chicken wings,Snack,non-veg,"chicken wings without skin, hung curd, chilli powder, sweet paprika powder, english mustard paste, garlic paste, salt, garlic, rum, bbq sauce",https://www.carnaldish.com/wp-content/uploads/2020/08/rum-and-coke-wings-f1.jpg
114,chicken dragon,Chinese,non-veg,"Chicken (boneless and cut into small pieces), eggs (lightly whipped), maida, garlic paste, ginger paste, salt, water, oil",https://carlsbadcravings.com/wp-content/uploads/2023/04/dragon-chicken-2b-1.jpg
115,chicken palwal,Indian,non-veg,"Chicken, Onion, Tomato, Green Chilli, Cumin Powder, Coriander Powder, Green Coriander, Curd, Ginger Garlic, Red Chilli Powder, Salt, Oil",https://c.ndtvimg.com/2019-10/829qq7mg_chicken_625x300_21_October_19.jpg
116,pan seared thigh of chicken,Mexican,non-veg,"Chicken Thai, Salt, Pepper, Lemon, Fresh Thyme, Barley, Brockley, Mushroom, Extra Virgin Olive Oil, Cherry Tomato",https://thealmondeater.com/wp-content/uploads/2021/01/Pan-Seared-Chicken-Thighs-1-15.jpg
117,chicken in mahalak sauce,Indian,non-veg,"Salt, sugar, seasonings, oil, corn flour, chicken leg, fresh chilli, garlic, ginger, onion, red chili paste, tomato catchup, paprika, yellow capsicum, vegetable stock",https://c.ndtvimg.com/2019-08/ib6cm0s8_chicken_625x300_08_August_19.jpg
118,grilled kasundi honey chicken with sweet potato mash,Indian,non-veg,"Chicken breast, kasundi (Bengali mustard sauce), sweet potato, red and yellow capsicum, broccoli, garlic buds, refined oil, salt, butter, cream, green onion, honey, ginger and garlic paste",https://c.ndtvimg.com/2019-06/pb66a7v8_chicken_625x300_24_June_19.jpg
119,chicken dong style,Chinese,non-veg,"Oil, chicken breast, garlic, ginger, tomato catchup, oyster sauce, shitake mushrooms, bomb shoots (boiled), salt, sugar, broth powder, shocking wine, potato starch, sesame oil, green onions",https://c.ndtvimg.com/2019-06/hbhcv2kg_chicken_625x300_18_June_19.jpg
120,microwave tandoori chicken,Indian,non-veg,"Chicken (sliced), garlic paste, ginger paste, Hung curd, salt, garam masala, coriander powder, pepper powder, cream, oil, for garnishing:, lemon pieces, onion rings",https://banashreebaruah.wordpress.com/wp-content/uploads/2014/12/tandoori-chicken-prepared-in-microwave.jpg
121,methi malai cranberry chicken,Indian,non-veg,"Chicken (sliced ??into large pieces), salt, cranberry puree, red chilli powder, garam masala, coriander powder, cumin powder, chaat masala, corn flour, fenugreek leaves, gram flour, ginger, garlic, cream, Greek yogurt, butter",https://c.ndtvimg.com/2019-05/ala0ha2_chicken-_625x300_16_May_19.jpg
122,southern fried chicken tenders,Snack,non-veg,"Chicken breast (cut 20 strips, 20 grams), all purpose flour, salt, hot red chillies, eggs, bread crumbles, white cabbage slaw, pasarley sprig, honey-mustard dip, green bell pepper",https://www.tasteofhome.com/wp-content/uploads/2018/01/Southern-Fried-Chicken-Strips_EXPS_FT23_35128_ST_0720_5.jpg
123,thai style chicken tikka,Thai,non-veg,"Chicken Thais, Thai Ginger, Lemon Leaves, Lemongrass, Coconut Milk Powder, Refined Oil, Red Curry Paste, Peanut Butter, Bezel Leaves, Lotus Stem, Yellow Butter, Chaat Masala",https://c.ndtvimg.com/2019-05/9qrp9cqo_chicken-tikka_625x300_15_May_19.jpg
124,chicken gilafi kebab,Indian,non-veg,"Chicken Mince, Onion, Tomato, Green Capsicum, Green Coriander, Green Chilli, Salt, Oil, Cashew, Almond, Mint, Red Chilli Powder, Ginger Garlic Paste, Cumin Powder, Lemon Juice, Fresh Cream, Kewda Water",https://www.licious.in/blog/wp-content/uploads/2020/12/Chicken-Seekh-Kebab-600x600.jpg
125,cheese chicken kebabs,Indian,non-veg,"Chicken Thais, Garlic Paste, Garlic Paste, Yellow Chilli Powder, Cheese, Curd, Gram Flour, Green Cardamom Powder, Yellow Chilli Powder, Mace Powder, Nutmeg Powder, Rock Salt, Green Coriander, Oil",https://static.toiimg.com/thumb/58774752.cms?imgsize=562379&width=800&height=800
126,andhra crab meat masala,Indian,non-veg,"processed crab meat, refined oil, curry leaves, garlic, green chilli, onion, ginger-garlic paste, coriander, coriander powder, cumin powder, turmeric powder, garam masala powder, kashmiri chilli powder, salt, lemon, chop masala, tomato",https://c.ndtvimg.com/2019-08/2b5aasa_crab-meat-masala_625x300_29_August_19.jpg
127,cajun spiced turkey wrapped with bacon,Mexican,non-veg,"turkey breast, cajun spice, spinach leaves (cooked and drained), garlic pods, salted butter, feta cheese, bacon strips, ground black pepper, for cajun spice:, onion powder, garlic powder, seasoning salt, paprika, ground black pepper, cayenne pepper, oregano, thyme, red pepper flakes (if you like it spicy))",https://c.ndtvimg.com/2018-12/7d4l0nsg_turkey_625x300_24_December_18.jpg
128,thai lamb balls,Thai,non-veg,"lamb (minced), couscous, scallion, garlic, egg, parsley, olive oil, mint, ao nori herb, salt, five spice, cinnamon powder",https://www.recipetineats.com/uploads/2017/10/Thai-Meatballs.jpg
129,oyster lamb,Thai,non-veg,"vegetable oil, garlic, ginger, lamb, stock, oyster sauce, dry sherry, sugar, celery, salt, bokchoy, shitake mushroom",https://atastykitchen.com/wp-content/uploads/2022/02/Lamb-oyster-shoulder-5.jpg
130,chicken shami kebab,Indian,non-veg,"oil, cumin seeds, cloves, black peppercorns, cinnamon, coriander seeds, ajwain, red chilli whole, chilli flakes, boneless chicken, salt, water, ginger, green chilli, garlic, coriander leaves , mint leaves , egg",https://www.indianhealthyrecipes.com/wp-content/uploads/2022/03/shami-kabab-shami-kebab.jpg
131,balti meat,Mexican,non-veg,"refined oil, black cardamoms, green cardamoms, mace, clove, cinnamon stick, black pepper corn, ginger garlic paste, ginger, green chilies, mutton curry cut, brown onion paste, salt, kashmiri red chili powder, tomato puree, garam masala powder, coriander powder, cumin powder",https://www.eatingwell.com/thmb/t0paxbyJTTnwO6hbpd_CehCSCfI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8509219-37a760b5e3094c92a62c46884c08760c.jpg
132,coffee marinated mutton chops,Thai,non-veg,"mutton chops, espresso, honey, balsamic vinegar, rosemary, pink peppercorns (crushed), olive oil, salt",https://www.tablefortwoblog.com/wp-content/uploads/2021/07/grilled-lamb-chops-recipe-photo-tablefortwoblog-4-scaled.jpg
133,sali boti (parsi meat dish),Indian,non-veg,"mutton (wash and cut into very small cubes), ghee or oil, tomatoes, onions, green chillies, coriander leaves, chilli powder, turmeric powder, ginger-garlic paste, water, vinegar, jaggery, salt, potatoes, oil",https://i.ndtvimg.com/i/2015-05/sali-boti_625x350_81431065388.jpg
134,braised lamb shanks,Thai,non-veg,"Lang Shanks, Olive Oil, Onion, Carrots, Celery Stick, Garlic, White Wine, Lamb Stock, White Wine, Rosemary, Tomata Puree",https://www.allrecipes.com/thmb/s2Q4Ib9be9G5M3RX9Q9vlT8sMPY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-36927-rosemary-braised-lamb-shank-DDMFS-4x3-a879ae9cf5124977ad0c0dae07d89a98.jpg
135,bengali lamb curry,Indian,non-veg,"Lamb pieces, yogurt, turmeric powder, castor sugar, red chili powder, mustard oil, onion, ginger paste, garlic paste, green chillies, mustard seeds, almonds",https://files.mob-cdn.co.uk/recipes/2024/07/_1200x630_crop_center-center_82_none/Bengali-Lamb-Curry-Recipe.jpg?mtime=1721123527
136,malabari fish curry,Indian,non-veg,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots",https://i0.wp.com/www.nourishdeliciously.com/wp-content/uploads/2024/08/DSC_8715-scaled.jpg
137,japanese fish stew,Japanese,non-veg,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt",https://marcsrecipes.com/wp-content/uploads/2024/01/miso-fish-soup-011.jpg
138,malabar fish curry,Indian,non-veg,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts",https://i0.wp.com/www.nourishdeliciously.com/wp-content/uploads/2024/08/DSC_8715-scaled.jpg
139,surmai curry with lobster butter rice,Thai,veg,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai",https://c.ndtvimg.com/ah17qq8o_surmai_625x300_06_September_18.jpg
140,seared salmon in tabasco butter,Thai,non-veg,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt",https://c.ndtvimg.com/9frpsmh8_salmon_625x300_03_September_18.jpg
141,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille",Italian,non-veg,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt",https://c.ndtvimg.com/s1rjqtl_lobster-risotto_625x300_29_August_18.jpg
142,fish skewers with coriander and red wine vinegar dressing,Thai,non-veg,"sea bass fillets, olive oil (for grilling), red wine vinegar, sugar, extra virgin olive oil, garlic clove, coriander, bamboo skewers",https://c.ndtvimg.com/loufka5o_fish-skewers_625x300_30_August_18.jpg
143,seafood rock filler,French,veg,"baked tart of mixed sea food served with phyllo fruit bowl, savory tart shell (semi baked), mixed sea food, mornay sauce, assorted herb and seasoning, phyllo pastry, assorted seasonal fruit",https://c.ndtvimg.com/tc51jlk_seafood-rock-filler_625x300_17_July_18.jpg
144,shrimp & cilantro ceviche,French,veg,"prawns, gherkin, onion, cilantro, mix bell pepper, tiger milk, sweet corn, sea salt, black pepper, green lemon juice, cherry tomato, edible flower, coriander stems, celery stalks, garlic, ginger, red onion, lemon juice, sea salt, black pepper",https://www.dinneratthezoo.com/wp-content/uploads/2017/03/shrimp-ceviche-13.jpg
145,saewoo bokumbop (shrimp fried rice),Japanese,veg,"cooked rice, shrimp (de-veined, onion, cooked green peas, green onion, egg (scrambled), vegetable oil/butter, soy sauce, sesame oil, salt, pepper",https://www.allrecipes.com/thmb/XvtyNvg0y1DqkxxVXfba7NUg_5w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/972475-d9beab5a23c141af8423ea974de34d10.jpg
146,thai prawn curry & baked rice,Thai,veg,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite",https://www.everydayeasyeats.com/wp-content/uploads/2019/01/Thai-Spicy-Shrimp-and-Rice-1.jpg
147,bihari fish curry,Indian,non-veg,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves",https://ranveerbrar.com/wp-content/uploads/2022/12/Bihari-Fish-Curry.jpg
148,curry fish fingers,Thai,non-veg,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard",http://silverstonepaving.net/jpg/1400x919-fish-finger-katsu-curry-7e4654b8-ed32-43a3-8e32-4693044e6c07-0-1400x919.jpg
149,prawn and litchi salad,Healthy Food,veg,"prawns (shelled and cleaned), spring onions, mango flesh, litchis (deseeded), chilli flakes, lemon (for lemon juice), olive oil, peanuts (to garnish), salt",https://comegrillwithme.com/images/recipes/prawn-lychee-salad-01.jpg
150,kerala fish curry,Indian,non-veg,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water",https://thefamiliarkitchen.com/wp-content/uploads/2019/03/img_5714-scaled.jpg
151,fish andlouse,French,non-veg,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc.",https://www.ndtv.com/cooks/images/fish-%20andlhouse_med.jpg
152,prawn fried rice,Thai,veg,"Oil, Bacon, Prawns, Chicken, Carrots, Garlic Buds, Ginger, Spring Onion, Sweet Chili Sauce, Soy Sauce, Salt, Pepper, Sweet Corn, Vinegar, Baked Rice, Green Coriander",https://khinskitchen.com/wp-content/uploads/2021/06/shrimp-fried-rice.jpg
153,damdama fish curry,Indian,non-veg,"Fish, onion, tomato, reshagi red chilli powder, cumin powder, coriander powder, coriander, cumin, salt, oil",https://c.ndtvimg.com/2019-10/sutkhsj_fish-curry_625x300_21_October_19.jpg
154,fish with white sauce,Italian,non-veg,"Fillet fish, oil, milk, flour, butter, salt, ground black pepper",https://www.preciouscore.com/wp-content/uploads/2024/03/Fish-In-White-Sauce-2-1.jpg
155,chilli fish,Chinese,non-veg,"For fish pieces (Boneless), Flour, Cornflour, Baking Powder, Soy Sauce, Celery, Pepper, Salt, Oil, Green Onion, Sauce:, Ginger, Garlic, Green Chili, Soy Sauce, Tomato Sauce, Chili Sauce, Cornflour",https://www.indianhealthyrecipes.com/wp-content/uploads/2013/12/fish-manchurian-recipe-chili-fish.jpg
156,fish ambultiyal,Indian,non-veg,"Tuna, onion, fenugreek, whole chilli, pandan leaf, salt, water, cardamom, cinnamon, coriander powder, black pepper, red chilli, curry powder, garlic (crushed), chili flakes, gorca, salt",https://www.hungrylankan.com/wp-content/uploads/2020/08/20200727_102021-1_compress52-768x1024.jpg
157,chettinad fish fry,Indian,non-veg,"Surmai fish, oil, garlic buds, ginger (mash), cumin, fennel, whole coriander, black pepper, mustard seeds, curry leaves, salt, oil, water, tomatoes, red pepper powder, turmeric powder, tamarind pulp, cornflour, lemon pieces of",https://www.cookingandme.com/wp-content/uploads/2016/12/chettinad-fish-fry-meen-varuval-recipe-ed-500x500.jpg
158,fish moilee,Indian,non-veg,"Basa fish, onion, ginger, garlic buds, green chillies, turmeric, red chilli powder, coriander powder, lemon juice, curry leaves, refined oil, refined oil, mustard seeds, black pepper, fennel, green cardamom, coconut milk, Cherry tomatoes",https://ichef.bbci.co.uk/food/ic/food_16x9_1600/recipes/malaysian-style_fish_67115_16x9.jpg
159,batter fish,Mexican,non-veg,"Fresh fish pieces (river sol or sea bass), maida, passerley, oil, baking powder, maida, egg (optional), soda water, salt and pepper",https://images.themodernproper.com/production/posts/BeerBatteredFish_7.jpg?w=1200&q=82&auto=format&fit=crop&dm=1695826989&s=c534870a1e263dd2b81557600be799b9
160,fish salan,Mexican,non-veg,"King fish, ripe tomatoes, desi ghee, ginger-garlic paste, onion, turmeric powder, red chilli powder, black pepper powder, garam masala, ginger, turmeric powder, fennel powder, refined oil, salt, water",https://www.flourandspiceblog.com/wp-content/uploads/2025/01/IMG_5219-500x500.jpg
161,spanish fish fry,Mexican,non-veg,"Sol fish, tomato, onion, lemon juice, olive oil, ginger and garlic paste, bay leaves, cinnamon stick, green chillies, vinegar, salt, water",https://vaya.in/recipes/wp-content/uploads/2018/06/Spanish-Fish-Fry.jpg
162,prawn potato soup,Thai,veg,"Onion, potato, prawns, eggs, milk, butter, coriander, salt, water",https://img.taste.com.au/209GnVY8/taste/2020/05/jun20_prawn-_-potato-soup-with-chilli-toast_alt-161741-1.jpg
163,red rice vermicelli kheer,Indian,veg,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar",https://c.ndtvimg.com/2018-11/8r6oc0s8_kheer_625x300_23_November_18.jpg
164,green cucumber shots,Healthy Food,veg,"english cucumbers, garlic cloves (smashed), romaine lettuce, basil, parsley, cilantro, big lemon, sea salt, olive oil",https://muybuenoblog.com/wp-content/uploads/2023/09/tequila-shot-cucumber.jpeg
165,thai pineapple rice,Thai,veg,"rice, onion, thai ginger , fresh turmeric, curry leaf, lemon grass, coconut milk, salt, hot curry powder, pineapple chunks, oil, water, turmeric powder, fresh pineapple",https://hot-thai-kitchen.com/wp-content/uploads/2014/02/Pineapple-fried-rice-sq-2.jpg
166,green asparagus risotto,Italian,veg,"carnaroli rice, vegetable broth, butter, extra virgin olive oil, parmigiano cheese, onion (minced), white wine, salt & pepper",https://familystylefood.com/wp-content/uploads/2021/04/Asparagus-risotto-500x500.jpg
167,veg fried rice,Chinese,veg,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",https://shwetainthekitchen.com/wp-content/uploads/2023/06/veg-fried-rice.jpg
168,egg and garlic fried rice,Chinese,non-veg,"oil, garlic, spring onion , ginger, red chilli , egg, cooked rice, salt, black pepper powder, soya sauce",https://chefsavvy.com/wp-content/uploads/filipino-garlic-fried-rice.jpg
169,curd rice,Indian,veg,"rice, water, curd, milk, carrot, green chilli, ginger, salt, coriander leaves, oil, mustard seeds, chana dal, urad dal, curry leaves, red chilli, hing",https://www.yellowthyme.com/wp-content/uploads/2019/04/South-indian-curd-rice-08751.jpg
170,fried rice with soya chunks,Chinese,veg,"basmati rice, carrot, capsicum, beans, green peas, ginger, garlic, green chillies, bay leaf, cinnamon sticks, green cardamoms, clove, soya chunks, salt,",https://hebbarskitchen.com/wp-content/uploads/2024/07/Soya-Fried-Rice-Recipe-Soya-Rice-Meal-Maker-Fried-Rice-2-scaled.jpeg
171,corn pulao,Indian,veg,"basmati rice, american corn kernels, olive oil, onion, ginger garlic paste, salt, green chillies, cumin seed, bay leaf, pepper corn, cloves, hot water, coriander leaves, lime juice, bell pepper (saut?ed and diced), coconut",https://hebbarskitchen.com/wp-content/uploads/2023/11/Corn-Pulao-Recipe-Sweet-Corn-Pulao-Rice-1-scaled.jpeg
172,zucchini methi pulao,Indian,veg,"zucchini, basmati rice, fenugreek (methi), clarified butter (desi ghee), clarified butter (desi ghee), cumin seeds (jeera), asafoetida (heeng), green chilles, ginger, salt",https://i.ndtvimg.com/i/2018-01/zucchini-methi-pulao_620x330_81515404252.jpg
173,lemon rice,Indian,veg,"cooked basmati rice, oil, asafoetida (heeng), mustard seeds (sarson), curry leaves (kadhi patta), whole red chilli (sabut laal mirch), turmeric powder(haldi), salt, lemon juice, peanuts, urad dal, chana dal, ginger",https://www.cookwithmanali.com/wp-content/uploads/2016/01/South-Indian-Lemon-Rice-Recipe.jpg
174,kale channe ki biryani,Indian,veg,"black gram (kala chana), basmati rice (soaked for 2 hours), cinnamon, green cardamoms, cloves, ghee, black cardamoms, black peppercorns, bay leaves, onions, green chillies (slit), ginger-garlic paste, coriander powder, turmeric powder, yogurt, fresh mint leaves, fresh coriander leaves, garam masala powder, red chilli powder, salt, cashew nuts, almonds, milk, fresh cream, saffron, ginger, screw pine essence (kewra), browned onions, whole wheat flour dough",https://i.ytimg.com/vi/YOS0CeGsLos/maxresdefault.jpg
175,chicken paella,Mexican,non-veg,"chicken, oil, salt and pepper, paprika powder, chilli flakes, garlic paste, onions, bell peppers, rice, vegetable stock, saffron, peas, olives, parsley, white wine",https://cookingformysoul.com/wp-content/uploads/2023/01/feat-chicken-chorizo-paella-min.jpg
176,thai fish curry,Thai,non-veg,"fish (cubed), thai green curry paste, oil, onions, garlic, ginger/galangal, coconut milk, coriander, lemon juice, palm sugar, basil leaves, salt & pepper",https://www.feastingathome.com/wp-content/uploads/2021/05/Thai-Fish-Curry-27.jpg
177,vegetable pulao,Indian,veg,"water, basmati rice, ghee, paneer (cooked), carrot, beans, peas, elaichi, cardamoms, cinnamon, bay leaves, cumin seeds, chilli powder, turmeric, salt, coriander leaves",https://www.sharmispassions.com/wp-content/uploads/2014/07/VegPulao1.jpg
178,oats shallots pulao,Healthy Food,veg,"Rice, Green Coriander, Green Chillies, Onion, Cinnamon, Cardamom, Cloves, Red Chilli Powder, Salt, Garlic Flakes, Ginger, Chalet, Olive Oil",https://c.ndtvimg.com/2019-12/uoaeu87_pulao_625x300_06_December_19.jpg
179,shiitake fried rice with water chestnuts,Chinese,veg,"Shitake Mushrooms, Vegetable Oil, Garlic Buds, Green Chillies, Water chestnuts, Onions, Leaks, Celery, Ginger, Sesame Oil, Rice Baked, White Chillies, Salt, Rice Wine Vinegar, Green Onions, Small Bunch Pasarley, Sesame Oil",https://c.ndtvimg.com/2018-10/ilrq2c5_pav-bhaji_625x300_19_October_18.jpeg
180,lotus leaf wrapped fried rice,Chinese,veg,"Jasmine Rice (Baked), Edamame Beans, Mock Meat, Shitake Mushroom, Spring Onion, Dark Soy Sauce, Sunflower Oil, Salt",https://school-of-wok.s3.eu-west-2.amazonaws.com/recipes/show_images/087b4638caa3c4f9004fa787fe7c59e6.jpg
181,vegetable biryani,Indian,veg,"Cumin, Onion, Ginger Garlic, Mix Vegetable, Coriander Powder, Garam Masala, Turmeric Powder, Salt, Red Chilli Powder, Green Chillies, Lemon Juice, Steamed Rice, Green Coriander",https://www.indianhealthyrecipes.com/wp-content/uploads/2019/04/veg-biryani-recipe-500x500.jpg
